Question;Procent;Num of right
1;53.57;15
2;64.29;18
3;35.71;10
4;53.57;15
5;28.57;8
6;50.00;14
7;32.14;9
8;53.57;15
9;39.29;11
10;46.43;13
11;32.14;9
12;28.57;8
